id,title,description,price,currency,quantity,category,brand,image_url,attributes
prod_1,Whole Milk,Organic Whole Milk 1 Gallon,450,USD,100,Dairy,FarmFresh,https://example.com/milk.jpg,{"fat": "whole", "organic": "true"}
prod_2,Eggs,Large Brown Eggs 1 Dozen,250,USD,150,Dairy,FarmFresh,https://example.com/eggs.jpg,{"size": "large", "color": "brown"}
prod_3,All-Purpose Flour,5lb Bag,499,USD,80,Pantry,BakerBest,https://example.com/flour.jpg,{"type": "all-purpose"}
prod_4,Sugar,Granulated Sugar 4lb,399,USD,90,Pantry,SweetLife,https://example.com/sugar.jpg,{"type": "granulated"}
prod_5,Butter,Salted Butter 1lb,599,USD,120,Dairy,FarmFresh,https://example.com/butter.jpg,{"type": "salted"}
prod_6,Bananas,Organic Bananas Bunch,250,USD,200,Produce,NatureChoice,https://example.com/bananas.jpg,{"organic": "true"}
prod_7,Strawberries,Fresh Strawberries 1lb,499,USD,50,Produce,BerryFarm,https://example.com/strawberries.jpg,{}
prod_9,Maple Syrup,Pure Grade A Maple Syrup,1299,USD,40,Pantry,VermontGold,https://example.com/syrup.jpg,{"grade": "A"}
prod_10,Onions,Yellow Onions 3lb Bag,399,USD,60,Produce,FreshField,https://example.com/onions.jpg,{}
prod_11,Bread,Artisan Sourdough Loaf,599,USD,50,Bakery,BakerBest,https://example.com/bread.jpg,{"type": "sourdough"}
prod_12,Truffle Oil,Black Truffle Oil,2499,USD,10,Pantry,GourmetChoice,https://example.com/truffle.jpg,{}
